Display Name,Display name - pl
Burgundy striped handkerchief,Bordowa pasiasta poszetka
Burgundy handkerchief,Bordowa poszetka
Dark purple handkerchief,Ciemnofioletowa poszetka
Light blue handkerchief,Jasnoniebieska poszetka
Apricot handkerchief,Morelowa poszetka
Extra light pink handkerchief,Bardzo jasnoróżowa poszetka
Salmon pink handkerchief,Łososiowa poszetka
Purple dotted handkerchief,Fioletowa poszetka w kropki
Green & white striped handkerchief,Zielono-biała pasiasta poszetka
Blue Christmas handkerchief Tree,Niebieska świąteczna poszetka z choinką
Black handkerchief Grenadine,Czarna poszetka Grenadyna
Dark brown floral handkerchief Spezia,Ciemnobrązowa poszetka w kwiaty Spezia
White handkerchief orange Border,Biała poszetka z pomarańczową obwódką
Blue & white paisley handkerchief San Vito,Niebiesko-biała poszetka paisley San Vito
Dark green handkerchief Herringbone,Ciemnozielona poszetka w jodełkę
Blue handkerchief Airplanes,Niebieska poszetka z samolotami
Rose purple handkerchief,Różowofioletowa poszetka
Black handkerchief Satin,Czarna poszetka Satynowa
Navy Christmas handkerchief Santa,Granatowa świąteczna poszetka z Mikołajem
