Display Name,Display name - nl,Display name - fr,Display name - es,Display name - it,Display name - pt,Display name - cz,Display name - hu,Display name - ro,Display name - pl,Display name - bg,Display name - hr,Display name - gr,Display name - sk
Orange tie & hanky,Oranje stropdas & pochet,Cravate orange & pochette de costume,Corbata naranja & pañuelo de bolsillo,Cravatta arancione & pochette da taschino,Gravata laranja & lenço de bolso,Oranžová kravata & kapesníček do saka,Narancssárga nyakkendő & díszzsebkendő,Cravată portocalie și batistă de buzunar,Pomarańczowy krawat i poszetka,Оранжева вратовръзка и кърпичка за сако,Narančasta kravata i rupčići,Πορτοκαλί γραβάτα και μαντήλι τσέπης,Oranžová kravata a vreckovka do saka
Dark purple tie & hanky,Donkerpaarse stropdas & pochet,Cravate violet foncé & pochette de costume,Corbata morado oscuro & pañuelo de bolsillo,Cravatta viola scuro & pochette da taschino,Gravata roxo escuro & lenço de bolso,Tmavě fialová kravata & kapesníček do saka,Sötétlila nyakkendő & díszzsebkendő,Cravată mov închis și batistă de buzunar,Ciemnofioletowy krawat i poszetka,Тъмнолилава вратовръзка и кърпичка за сако,Tamnoljubičasta kravata i rupčići,Σκούρα μωβ γραβάτα και μαντήλι τσέπης,Tmavo fialová kravata a vreckovka do saka
Light purple tie & hanky,Lichtpaarse stropdas & pochet,Cravate violet clair & pochette de costume,Corbata lila claro & pañuelo de bolsillo,Cravatta lilla chiaro & pochette da taschino,Gravata lilás claro & lenço de bolso,Světle fialová kravata & kapesníček do saka,Világoslila nyakkendő & díszzsebkendő,Cravată mov deschis și batistă de buzunar,Jasnofioletowy krawat i poszetka,Светлолилава вратовръзка и кърпичка за сако,Svijetloljubičasta kravata i rupčići,Ανοιχτό μωβ γραβάτα και μαντήλι τσέπης,Svetlo fialová kravata a vreckovka do saka
Creme gold tie & hanky,Crème-gouden stropdas & pochet,Cravate crème doré & pochette de costume,Corbata crema dorada & pañuelo de bolsillo,Cravatta crema dorata & pochette da taschino,Gravata creme dourado & lenço de bolso,Krémově zlatá kravata & kapesníček do saka,Krémszínű arany nyakkendő & díszzsebkendő,Cravată crem auriu și batistă de buzunar,Kremowo-złoty krawat i poszetka,Кремаво златна вратовръзка и кърпичка за сако,Krem zlatna kravata i rupčići,Κρεμ χρυσή γραβάτα και μαντήλι τσέπης,Krémovo zlatá kravata a vreckovka do saka
Cerise pink tie & hanky,Cerise roze stropdas & pochet,Cravate rose cerise & pochette de costume,Corbata rosa cereza & pañuelo de bolsillo,Cravatta rosa ciliegia & pochette da taschino,Gravata rosa cereja & lenço de bolso,Růžová cerise kravata & kapesníček do saka,Cseresznye rózsaszín nyakkendő & díszzsebkendő,Cravată roz cireș și batistă de buzunar,Ciemnoróżowy krawat i poszetka,Церизово розова вратовръзка и кърпичка за сако,Ceriš ružičasta kravata i rupčići,Σκούρο ροζ γραβάτα και μαντήλι τσέπης,Čerešňovo ružová kravata a vreckovka do saka
Midnight navy tie & hanky,Middernacht blauwe stropdas & pochet,Cravate bleu marine de minuit & pochette de costume,Corbata azul marino medianoche & pañuelo de bolsillo,Cravatta blu notte & pochette da taschino,Gravata azul marinho meia-noite & lenço de bolso,Půlnočně modrá kravata & kapesníček do saka,Éjféli kék nyakkendő & díszzsebkendő,Cravată albastru închis de miezul nopții și batistă de buzunar,Granatowy krawat północy i poszetka,Тъмносиня вратовръзка и кърпичка за сако,Ponoćno plava kravata i rupčići,Μεσονύκτιο μπλε γραβάτα και μαντήλι τσέπης,Polnočná modrá kravata a vreckovka do saka
Skinny dark purple tie & hanky,Smalle donkerpaarse stropdas & pochet,Cravate étroite violet foncé & pochette de costume,Corbata estrecha morado oscuro & pañuelo de bolsillo,Cravatta stretta viola scuro & pochette da taschino,Gravata estreita roxo escuro & lenço de bolso,Úzká tmavě fialová kravata & kapesníček do saka,Keskeny sötétlila nyakkendő & díszzsebkendő,Cravată îngustă mov închis și batistă de buzunar,Wąski ciemnofioletowy krawat i poszetka,Тясна тъмнолилава вратовръзка и кърпичка за сако,Uska tamnoljubičasta kravata i rupčići,Στενή σκούρα μωβ γραβάτα και μαντήλι τσέπης,Úzka tmavo fialová kravata a vreckovka do saka
Skinny light blue tie & hanky,Smalle lichtblauwe stropdas & pochet,Cravate étroite bleu clair & pochette de costume,Corbata estrecha azul claro & pañuelo de bolsillo,Cravatta stretta azzurro chiaro & pochette da taschino,Gravata estreita azul claro & lenço de bolso,Úzká světle modrá kravata & kapesníček do saka,Keskeny világoskék nyakkendő & díszzsebkendő,Cravată îngustă albastru deschis și batistă de buzunar,Wąski jasnoniebieski krawat i poszetka,Тясна светлосиня вратовръзка и кърпичка за сако,Uska svijetloplava kravata i rupčići,Στενή ανοιχτό μπλε γραβάτα και μαντήλι τσέπης,Úzka svetlomodrá kravata a vreckovka do saka
Skinny light pink tie & hanky,Smalle lichtroze stropdas & pochet,Cravate étroite rose clair & pochette de costume,Corbata estrecha rosa claro & pañuelo de bolsillo,Cravatta stretta rosa chiaro & pochette da taschino,Gravata estreita rosa claro & lenço de bolso,Úzká světle růžová kravata & kapesníček do saka,Keskeny világos rózsaszín nyakkendő & díszzsebkendő,Cravată îngustă roz deschis și batistă de buzunar,Wąski jasnoróżowy krawat i poszetka,Тясна светлорозова вратовръзка и кърпичка за сако,Uska svijetloružičasta kravata i rupčići,Στενή ανοιχτό ροζ γραβάτα και μαντήλι τσέπης,Úzka svetloružová kravata a vreckovka do saka
Skinny rust orange tie & hanky,Smalle roestoranje stropdas & pochet,Cravate étroite orange rouille & pochette de costume,Corbata estrecha naranja óxido & pañuelo de bolsillo,Cravatta stretta arancione ruggine & pochette da taschino,Gravata estreita laranja ferrugem & lenço de bolso,Úzká rezavě oranžová kravata & kapesníček do saka,Keskeny rozsda narancssárga nyakkendő & díszzsebkendő,Cravată îngustă portocaliu ruginiu și batistă de buzunar,Wąski rdzawopomarańczowy krawat i poszetka,Тясна ръждиво оранжева вратовръзка и кърпичка за сако,Uska hrđavo narančasta kravata i rupčići,Στενή σκουριά πορτοκαλί γραβάτα και μαντήλι τσέπης,Úzka hrdzavo oranžová kravata a vreckovka do saka
