Product ID,SKU,Description,Description - no
1285,300-01,"White hand-sewn bow tie made of 100% silk. The bow tie is pre-tied and easy to fasten around the neck with an adjustable strap that fits all neck measurements up to 52 cm in circumference. As we work without intermediaries, we can offer a bow tie of the highest quality at a reasonable price. The size of the bow tie is 12.5 x 6 cm. Swedish design. Delivered in an elegant velvet pouch.","Hvit håndsydd sløyfe laget av 100 % silke. Sløyfen er ferdigbundet og enkel å feste rundt halsen med et justerbart bånd som passer alle halsmål opp til 52 cm i omkrets. Siden vi jobber uten mellomledd, kan vi tilby en sløyfe av høyeste kvalitet til en rimelig pris. Størrelsen på sløyfen er 12,5 x 6 cm. Svensk design. Leveres i en elegant fløyelspose."
1286,300-02,"Orange hand-sewn bow tie made of 100% silk. The bow tie is pre-tied and easy to fasten around the neck with an adjustable strap that fits all neck measurements up to 52 cm in circumference. As we work without intermediaries, we can offer a bow tie of the highest quality at a reasonable price. The size of the bow tie is 12.5 x 6 cm. Swedish design. Delivered in an elegant velvet pouch.","Oransje håndsydd sløyfe laget av 100 % silke. Sløyfen er ferdigbundet og enkel å feste rundt halsen med et justerbart bånd som passer alle halsmål opp til 52 cm i omkrets. Siden vi jobber uten mellomledd, kan vi tilby en sløyfe av høyeste kvalitet til en rimelig pris. Størrelsen på sløyfen er 12,5 x 6 cm. Svensk design. Leveres i en elegant fløyelspose."
1287,300-04,"Burgundy hand-sewn bow tie made of 100% silk. The bow tie is pre-tied and easy to fasten around the neck with an adjustable strap that fits all neck measurements up to 52 cm in circumference. As we work without intermediaries, we can offer a dark red bow tie of the highest quality at a reasonable price. The size of the bow tie is 12.5 x 6 cm. Swedish design. Delivered in an elegant velvet pouch.","Burgunderfarget håndsydd sløyfe laget av 100 % silke. Sløyfen er ferdigbundet og enkel å feste rundt halsen med et justerbart bånd som passer alle halsmål opp til 52 cm i omkrets. Siden vi jobber uten mellomledd, kan vi tilby en mørkerød sløyfe av høyeste kvalitet til en rimelig pris. Størrelsen på sløyfen er 12,5 x 6 cm. Svensk design. Leveres i en elegant fløyelspose."
1288,300-05,"Dark purple hand-sewn bow tie made of 100% silk. The bow tie is pre-tied and easy to fasten around the neck with an adjustable strap that fits all neck measurements up to 52 cm in circumference. As we work without intermediaries, we can offer a bow tie of the highest quality at a reasonable price. The size of the bow tie is 12.5 x 6 cm. Swedish design. Delivered in an elegant velvet pouch.","Mørk lilla håndsydd sløyfe laget av 100 % silke. Sløyfen er ferdigbundet og enkel å feste rundt halsen med et justerbart bånd som passer alle halsmål opptil 52 cm i omkrets. Siden vi jobber uten mellomledd, kan vi tilby en sløyfe av høyeste kvalitet til en rimelig pris. Størrelsen på sløyfen er 12,5 x 6 cm. Svensk design. Leveres i en elegant fløyelspose."
1289,300-06,"Purple hand-sewn bow tie made of 100% silk. The bow tie is pre-tied and easy to fasten around the neck with an adjustable strap that fits all neck measurements up to 52 cm in circumference. As we work without intermediaries, we can offer a bow tie of the highest quality at a reasonable price. The size of the bow tie is 12.5 x 6 cm. Swedish design. Delivered in an elegant velvet pouch.","Lilla håndsydd sløyfe laget av 100 % silke. Sløyfen er ferdigbundet og enkel å feste rundt halsen med et justerbart bånd som passer alle halsmål opptil 52 cm i omkrets. Siden vi jobber uten mellomledd, kan vi tilby en sløyfe av høyeste kvalitet til en rimelig pris. Størrelsen på sløyfen er 12,5 x 6 cm. Svensk design. Leveres i en elegant fløyelspose."
1290,300-07,"Light purple hand-sewn bow tie made of 100% silk. The bow tie is pre-tied and easy to fasten around the neck with an adjustable strap that fits all neck measurements up to 52 cm in circumference. As we work without intermediaries, we can offer a bow tie of the highest quality at a reasonable price. The size of the bow tie is 12.5 x 6 cm. Swedish design. Delivered in an elegant velvet pouch.","Lys lilla håndsydd sløyfe laget av 100 % silke. Sløyfen er ferdigbundet og enkel å feste rundt halsen med et justerbart bånd som passer alle halsmål opptil 52 cm i omkrets. Siden vi jobber uten mellomledd, kan vi tilby en sløyfe av høyeste kvalitet til en rimelig pris. Størrelsen på sløyfen er 12,5 x 6 cm. Svensk design. Leveres i en elegant fløyelspose."
1291,300-08,"Turquoise hand-sewn bow tie made of 100% silk. The bow tie is pre-tied and easy to fasten around the neck with an adjustable strap that fits all neck measurements up to 52 cm in circumference. As we work without intermediaries, we can offer a bow tie of the highest quality at a reasonable price. The size of the bow tie is 12.5 x 6 cm. Swedish design. Delivered in an elegant velvet pouch.","Turkis håndsydd sløyfe laget av 100 % silke. Sløyfen er ferdigbundet og enkel å feste rundt halsen med et justerbart bånd som passer alle halsmål opptil 52 cm i omkrets. Siden vi jobber uten mellomledd, kan vi tilby en sløyfe av høyeste kvalitet til en rimelig pris. Størrelsen på sløyfen er 12,5 x 6 cm. Svensk design. Leveres i en elegant fløyelspose."
1292,300-09,"Navy hand-sewn bow tie made of 100% silk. The bow tie is pre-tied and easy to fasten around the neck with an adjustable strap that fits all neck measurements up to 52 cm in circumference. As we work without intermediaries, we can offer a dark blue silk bow tie of the highest quality at a reasonable price. The size of the bow tie is 12.5 x 6 cm. Swedish design. Delivered in an elegant velvet pouch.","Marineblå håndsydd sløyfe laget av 100 % silke. Sløyfen er ferdigbundet og enkel å feste rundt halsen med et justerbart bånd som passer alle halsmål opptil 52 cm i omkrets. Siden vi jobber uten mellomledd, kan vi tilby en mørkeblå silkesløyfe av høyeste kvalitet til en rimelig pris. Størrelsen på sløyfen er 12,5 x 6 cm. Svensk design. Leveres i en elegant fløyelspose."
1293,300-10,"Blue hand-sewn bow tie made of 100% silk. The bow tie is pre-tied and easy to fasten around the neck with an adjustable strap that fits all neck measurements up to 52 cm in circumference. As we work without intermediaries, we can offer a bow tie of the highest quality at a reasonable price. The size of the bow tie is 12.5 x 6 cm. Swedish design. Delivered in an elegant velvet pouch.","Blå håndsydd sløyfe laget av 100 % silke. Sløyfen er ferdigbundet og enkel å feste rundt halsen med et justerbart bånd som passer alle halsmål opptil 52 cm i omkrets. Siden vi jobber uten mellomledd, kan vi tilby en sløyfe av høyeste kvalitet til en rimelig pris. Størrelsen på sløyfen er 12,5 x 6 cm. Svensk design. Leveres i en elegant fløyelspose."
1477,400-01,"White self-tie bow tie from Scottsberry, hand-sewn in the finest silk. With a focus on quality and functionality, this is an affordable bow tie that you tie yourself. It has an adjustable strap that fits all neck sizes up to a 50 cm circumference. The strap can be opened, making it easy to put on and take off the bow tie without having to untie it. Swedish design. Comes in an elegant velvet pouch.","Hvit selvbinder sløyfe fra Scottsberry, håndsydd i den fineste silke. Med fokus på kvalitet og funksjonalitet er dette en rimelig sløyfe som du knytter selv. Den har et justerbart bånd som passer alle halsstørrelser opp til 50 cm i omkrets. Båndet kan åpnes, noe som gjør det enkelt å ta på og av sløyfen uten å måtte løsne den. Svensk design. Leveres i en elegant fløyelspose."
