Display Name,Display name - sv,Display name - no,Display name - da,Display name - de,Display name - fi,Display name - nl,Display name - fr,Display name - es,Display name - it,Display name - pt,Display name - cz,Display name - hu,Display name - ro,Display name - pl,Display name - bg,Display name - hr,Display name - gr,Display name - sk
Italian black braces,Italienska svarta hängslen,Italienske svarte bukseseler,Italienske sorte seler,Italienische schwarze Hosenträger,Italialaiset mustat henkselit,,,,,,,,,Włoskie czarne szelki,,,,
Italian braces Vivace,Italienska hängslen Vivace,Italienske bukseseler Vivace,Italienske seler Vivace,Italienische Hosenträger Vivace,Italialaiset henkselit Vivace,,,,,,,,,Włoskie szelki Vivace,,,,
Dark blue dotted Italian braces,Mörkblå prickiga italienska hängslen,Mørkeblå prikkete italienske bukseseler,Mørkeblå prikkede italienske seler,Dunkelblaue gepunktete italienische Hosenträger,Tummansiniset pilkulliset italialaiset henkselit,,,,,,,,,Ciemnoniebieskie szelki w kropki włoskie,,,,
Italian navy braces Music,Italienska mörkblå hängslen Musik,Italienske mørkeblå bukseseler Musikk,Italienske mørkeblå seler Musik,Italienische dunkelblaue Hosenträger Musik,Italialaiset tummansiniset henkselit Musiikki,,,,,,,,,Włoskie granatowe szelki Music,,,,
Italian black braces Moose,Italienska svarta hängslen Älg,Italienske svarte bukseseler Elg,Italienske sorte seler Elg,Italienische schwarze Hosenträger Elch,Italialaiset mustat henkselit Hirvi,,,,,,,,,Włoskie czarne szelki Łoś,,,,
Striped Italian braces navy & burgundy,Randiga italienska hängslen i mörkblåt & vinröd,Stripete italienske bukseseler mørkeblått & burgunder,Stribede italienske seler marineblå & bordeaux,Gestreifte italienische Hosenträger Marineblau & Weinrot,Raidalliset italialaiset henkselit tummansininen & viininpunainen,,,,,,,,,Paskowane włoskie szelki granatowe i bordowe,,,,
Italian braces Fiorentina,Italienska hängslen Fiorentina,Italienske bukseseler Fiorentina,Italienske seler Fiorentina,Italienische Hosenträger Fiorentina,Italialaiset henkselit Fiorentina,,,,,,,,,Włoskie szelki Fiorentina,,,,
Italian braces Tropical Vibes,Italienska hängslen Tropical Vibes,Italienske bukseseler Tropical Vibes,Italienske seler Tropical Vibes,Italienische Hosenträger Tropical Vibes,Italialaiset henkselit Tropical Vibes,,,,,,,,,Włoskie szelki Tropical Vibes,,,,
Italian black braces paisley,Italienska svarta hängslen paisley,Italienske svarte bukseseler paisley,Italienske sorte seler paisley,Italienische schwarze Hosenträger Paisley,Italialaiset mustat henkselit paisley-kuviolla,,,,,,,,,Włoskie czarne szelki paisley,,,,
Braces Pride-festival,Hängslen Pride-festival,Bukseseler Pride-festival,Seler Pride-festival,Hosenträger Pride-Festival,Henkselit Pride-festivaali,,,,,,,,,Szelki Pride-festiwal,,,,
Italian beige braces Diamond,Italienska beige hängslen Diamond,Italienske beige bukseseler Diamond,Italienske beige seler Diamond,Italienische beige Hosenträger Diamond,Italialaiset beige henkselit Diamond,,,,,,,,,Włoskie beżowe szelki Diamond,,,,
Italian black braces with button fastening,Italienska svarta hängslen med knappfäste,Italienske svarte bukseseler med knappefeste,Italienske sorte seler med knaplukning,Italienische schwarze Hosenträger mit Knopfverschluss,Italialaiset mustat henkselit nappikiinnityksellä,,,,,,,,,Włoskie czarne szelki z zapięciem na guziki,,,,
Italian black braces Premium,Italienska svarta hängslen Premium,Italienske svarte bukseseler Premium,Italienske sorte seler Premium,Italienische schwarze Hosenträger Premium,Italialaiset mustat henkselit Premium,,,,,,,,,Włoskie czarne szelki Premium,,,,
Burgundy braces Diamond,Vinröda hängslen Diamond,Burgunder bukseseler Diamond,Bordeaux seler Diamond,Weinrote Hosenträger Diamond,Viininpunaiset henkselit Diamond,,,,,,,,,Bordowe szelki Diamond,,,,
Skinny burgundy dotted braces,Smala vinröda hängslen med prickar,Smale burgunder prikkete bukseseler,Smalle bordeaux prikkede seler,Schmale weinrote gepunktete Hosenträger,Kapeat viininpunaiset pilkulliset henkselit,,,,,,,,,Cienkie bordowe szelki w kropki,,,,
Dark green skinny braces,Smala mörkgröna hängslen,Smale mørkegrønne bukseseler,Smalle mørkegrønne seler,Schmale dunkelgrüne Hosenträger,Kapeat tummanvihreät henkselit,,,,,,,,,Cienkie ciemnozielone szelki,,,,
White braces with button fastening,Vita hängslen med knappfäste,Hvite bukseseler med knappefeste,Hvide seler med knaplukning,Weiße Hosenträger mit Knopfverschluss,Valkoiset henkselit nappikiinnityksellä,,,,,,,,,Białe szelki z zapięciem na guziki,,,,
Burgundy braces extra long - XL,Vinröda hängslen extra långa - XL,Burgunder bukseseler ekstra lange - XL,Bordeaux seler ekstra lange - XL,Weinrote Hosenträger extra lang - XL,Viininpunaiset henkselit extra pitkät - XL,,,,,,,,,Bordowe szelki extra długie - XL,,,,
Lime green kids braces 2-13 years,Limegröna barnhängslen 2-13 år,Limegrønne barnebukseseler 2-13 år,Limegrønne børneseler 2-13 år,Limettengrüne Kinderhosenträger 2-13 Jahre,Limenvihreät lasten henkselit 2-13 vuotta,,,,,,,,,Limonkowe szelki dziecięce 2-13 lat,,,,
Black braces All Black,Svarta hängslen All Black,Svarte bukseseler All Black,Sorte seler All Black,Schwarze Hosenträger All Black,Mustat henkselit All Black,,,,,,,,,Czarne szelki All Black,,,,
