Product ID,SKU,Description
1448,3400-51,"With a focus on design and functionality, we have developed a bow tie that you tie on your own. Without intermediaries, we can offer low prices without compromising on quality. The widest part of the bow tie is 6 cm and it has an adjustable strap that fits all neck measurements up to a circumference of 50 cm. Delivered in an elegant velvet pouch."
1452,3400-60,"Self-tie bow tie made of 100% silk. A trendy self-tie bow tie that gives you a nice outfit. The silk fabric is printed, which means that the pattern is printed on the silk fabric. That gives an enormously high richness of details. The bow tie is manufactured by hand and therefore maintains a very fine quality, in the manual handling every bow tie is checked carefully. We can therefore guarantee perfect quality for this bow tie. Add a bow tie box and you have a perfect gift, or a practical protective cover when traveling. Adjustable neck strap makes the bow tie to fit most necksizes. Delivered in an elegant velvet pouch."
1500,400-25,"Dark coral / dark pink / fuchsia / cerise self-tie bow tie sewn by hand in 100% silk. With a focus on design and functionality, we have developed a bow tie that you tie on your own. Without intermediaries, we can offer low prices without compromising on quality. The widest part of the bow tie is 6 cm and it has an adjustable strap that fits all neck measurements up to a circumference of 50 cm. Swedish design. Delivered in an elegant velvet pouch."
1508,400-37,"Light coral self-tie bow tie sewn by hand in 100% silk. With a focus on design and functionality, we have developed a bow tie that you tie on your own. Without intermediaries, we can offer low prices without compromising on quality. The widest part of the bow tie is 6 cm and it has an adjustable strap that fits all neck measurements up to a circumference of 50 cm. Swedish design. Delivered in an elegant velvet pouch."
1516,400-46,"Yellow self-tie bow tie sewn by hand in 100% silk. With a focus on design and functionality, we have developed a bow tie that you tie on your own. Without intermediaries, we can offer low prices without compromising on quality. The widest part of the bow tie is 6 cm and it has an adjustable strap that fits all neck measurements up to a circumference of 50 cm. Swedish design. Delivered in an elegant velvet pouch."
4388,DT-400-02,"Self-tied bow tie made of 100% silk from our silk collection. Woven with high density silk and carefully manufactured to ensure top quality. The bow tie has been carefully designed and constructed which gives a neat and stylish look. Adjustable neckstrap, designed in Sweden. Delivered in an elegant velvet pouch."
4418,FL-400-02,"Self-tied bow tie made of 100% silk from our silk collection. Woven with high density silk and carefully manufactured to ensure top quality. The bow tie has been carefully designed and constructed which gives a neat and stylish look. Adjustable neckstrap, designed in Sweden. Delivered in an elegant velvet pouch."
4419,FL-400-04,"Self-tied bow tie made of 100% silk from our silk collection. Woven with high density silk and carefully manufactured to ensure top quality. The bow tie has been carefully designed and constructed which gives a neat and stylish look. Adjustable neckstrap, designed in Sweden. Delivered in an elegant velvet pouch."
4477,FLR-400-06,"Self tie bow tie made of 100% silk. Printed with high richness of details and manufactured to ensure the very best quality. The bow tie has been carefully designed and constructed which gives a neat and stylish look. Adjustable neckstrap, designed in Sweden. Delivered in an elegant velvet pouch."
4479,FLR-400-08,"Self tie bow tie made of 100% silk. Printed with high richness of details and manufactured to ensure the very best quality. The bow tie has been carefully designed and constructed which gives a neat and stylish look. Adjustable neckstrap, designed in Sweden. Delivered in an elegant velvet pouch."
4522,HB-400-01,"Self-tie bow-tie in a blend of silk of the finest quality. A lovely mixture of silk and polywool provides a luxurious but matte texture. The bow-tie is designed in such a way as to provide an optimal form and fit. The fly is self-tie, which means it needs to be tied before wearing. An adjustable buckle allows the bow-tie to fit all neck measurements. Delivered in an elegant velvet pouch."
4615,ITS400-04,"Navy bow tie with burgundy and purple floral pattern. The bow tie is made by hand in Como Italy, from recycled silk fabric in a manufacturing process called ""Shappe Diamante"". This process gives a soft silk fabric with a luxurious feel. By making use of waste fabric, savings are also made for the environment. The bow tie is self-tied and easy to fasten around the neck with an adjustable buckle and fits all neck measurements with a circumference up to 51 cm. This bow tie can be divided into two parts, which means that it can be tied around the neck and then removed. If you have difficulty tying it yourself, you can thus let a friend tie it on his own neck. Then take it off and adjust the length and attach it to your own neck. Hand-sewn in Italy without intermediaries. Delivered in an elegant velvet pouch."
4616,ITS400-06,"Dark brown bow tie with navy blue floral pattern. The bow tie is made by hand in Como Italy, from recycled silk fabric in a manufacturing process called ""Shappe Diamante"". This process gives a soft silk fabric with a luxurious feel. By making use of waste fabric, savings are also made for the environment. The bow tie is self-tied and easy to fasten around the neck with an adjustable buckle and fits all neck measurements with a circumference up to 51 cm. This bow tie can be divided into two parts, which means that it can be tied around the neck and then removed. If you have difficulty tying it yourself, you can thus let a friend tie it on his own neck. Then take it off and adjust the length and attach it to your own neck. Hand-sewn in Italy without intermediaries. Delivered in an elegant velvet pouch."
4618,ITS400-116,"Black self tie bow tie from Scottsberry made of velvet. Sewn by hand in Italy with care for quality for you who want the most luxurious around the neck at the party. This bow tie can be divided into two parts, which means that it can be tied around the neck and then removed. If you have difficulty tying it yourself, you can thus let a friend tie it on his own neck. Then take it off and adjust the length and attach to your own neck. Delivered in an elegant velvet pouch."
4619,ITS400-117,"White self tie cotton bow tie for tailcoat. The bow tie is made by hand in Italy and is of the finest quality. This bow tie can be divided into two parts, which means that it can be tied around the neck and then removed. If you have difficulty tying it yourself, you can thus let a friend tie it on his own neck. Then take it off and adjust the length and attach to your own neck. Delivered in an elegant velvet pouch."
4620,ITS400-118,"This self tie silk bow tie is hand-made in Como, Italy, with focus on design and quality. This bow tie can be separated into two different parts; you can tie it around the neck and then adjust the band to remove it. It is great for those who find it difficult to tie a bow tie on their own. Simply get someone to help you tie it (either on you or themselves) and then you can adjust the bands to take the bow tie off without untying it and choose a length that sits perfectly on you. Delivered in an elegant velvet pouch."
4621,ITS400-34,"Moss green self-tie bow tie made by hand in Como Italy from the finest wool. With a focus on quality and design, this is a bow tie for you who want to wear an authentic Italian craft. The wool bow tie fits especially well in autumn and winter, even though it is just as suitable to wear all year round. The bow tie has an adjustable buckle and fits all neck measurements with a circumference up to 51 cm. This bow tie can be divided into two parts, which means that it can be tied around the neck and then removed. If you have difficulty tying it yourself, you can thus let a friend tie it on his own neck. Then take it off and adjust the length and attach it to your own neck. Hand-sewn in Italy without intermediaries. Delivered in an elegant velvet pouch."
4622,ITS400-35,"Dark brown self-tie bow tie with a stylish herringbone pattern that is easy to match nicely with most outfits. The bow tie is sewn by hand in Italy from 70% wool and 30% silk and is a good choice for you who want the very best quality. Wool has a matte and warm color tone that is particularly suitable during autumn and winter. However, this bow tie is just as suitable to wear all year round. The bow tie has an adjustable strap and fits all necks with a circumference up to 51 cm. As the bow tie can be divided into two parts, you can tie it on your own neck and then take it off without having to tie it up. This is very practical if you have difficulty tying because you can let a friend tie it on his own neck, then just take it off and adjust the length so that it fits your neck. Delivered in an elegant velvet pouch."
4623,ITS400-36,"Dark green self-tie bow tie with a stylish herringbone pattern that is easy to match nicely with most outfits. The bow tie is sewn by hand in Italy from 70% wool and 30% silk and is a good choice for you who want the very best quality. Wool has a matte and warm color tone that is particularly suitable during autumn and winter. However, this bow tie is just as suitable to wear all year round. The bow tie has an adjustable strap and fits all necks with a circumference up to 51 cm. As the bow tie can be divided into two parts, you can tie it on your own neck and then take it off without having to tie it up. This is very practical if you have difficulty tying because you can let a friend tie it on his own neck, then just take it off and adjust the length so that it fits your neck. Delivered in an elegant velvet pouch."
4624,ITS400-37,"Navy self-tie bow tie with a stylish herringbone pattern that is easy to match nicely with most outfits. The bow tie is sewn by hand in Italy from 70% wool and 30% silk and is a good choice for you who want the very best quality. Wool has a matte and warm color tone that is particularly suitable during autumn and winter. However, this bow tie is just as suitable to wear all year round. The bow tie has an adjustable strap and fits all necks with a circumference up to 51 cm. As the bow tie can be divided into two parts, you can tie it on your own neck and then take it off without having to tie it up. This is very practical if you have difficulty tying because you can let a friend tie it on his own neck, then just take it off and adjust the length so that it fits your neck. Delivered in an elegant velvet pouch."
4625,ITS400-38,"Dark grey self-tie bow tie with a stylish herringbone pattern that is easy to match nicely with most outfits. The bow tie is sewn by hand in Italy from 70% wool and 30% silk and is a good choice for you who want the very best quality. Wool has a matte and warm color tone that is particularly suitable during autumn and winter. However, this bow tie is just as suitable to wear all year round. The bow tie has an adjustable strap and fits all necks with a circumference up to 51 cm. As the bow tie can be divided into two parts, you can tie it on your own neck and then take it off without having to tie it up. This is very practical if you have difficulty tying because you can let a friend tie it on his own neck, then just take it off and adjust the length so that it fits your neck. Delivered in an elegant velvet pouch."
4626,ITS400-39,"Burgundy self-tie bow tie with a stylish herringbone pattern that is easy to match nicely with most outfits. The bow tie is sewn by hand in Italy from 70% wool and 30% silk and is a good choice for you who want the very best quality. Wool has a matte and warm color tone that is particularly suitable during autumn and winter. However, this bow tie is just as suitable to wear all year round. The bow tie has an adjustable strap and fits all necks with a circumference up to 51 cm. As the bow tie can be divided into two parts, you can tie it on your own neck and then take it off without having to tie it up. This is very practical if you have difficulty tying because you can let a friend tie it on his own neck, then just take it off and adjust the length so that it fits your neck. Delivered in an elegant velvet pouch."
