Display Name,Display name - pl
Dark purple tie,Ciemnofioletowy krawat
Navy tie,Krawat granatowy
Boys dark yellow tie,Chłopięcy ciemnożółty krawat
Boys light purple tie Satin,Chłopięcy jasnofioletowy krawat satynowy
Blue tie & hanky,Niebieski krawat i poszetka
White tie XL,Biały krawat XL
Extra skinny white tie,Bardzo wąski biały krawat
Skinny light blue tie,Wąski jasnoniebieski krawat
Skinny red paisley tie,Wąski czerwony krawat paisley
Purple dotted tie,Fioletowy krawat w kropki
Green Christmas tie Rudolf,Zielony świąteczny krawat Rudolf
Navy & silver striped tie,Granatowo-srebrny krawat w paski
Purple dotted tie Lago,Fioletowy krawat w kropki Lago
Green tie Herringbone,Zielony krawat Herringbone
Navy tie Sailboats,Granatowy krawat żaglówki
Orange tie Basic,Pomarańczowy krawat Basic
Skinny navy tie damask,Wąski granatowy krawat Damask
Boys burgundy dotted tie,Chłopięcy bordowy krawat w kropki
Extra light pink tie,Bardzo jasnoróżowy krawat
Skinny dark purple tie,Wąski ciemnofioletowy krawat
