Display Name,Display name - sv,Display name - pl
Dark purple tie,Mörklila slips,Ciemnofioletowy krawat
Navy tie,Mörkblå slips,Krawat granatowy
Boys dark yellow tie,Mörkgul barnslips,Chłopięcy ciemnożółty krawat
Boys light purple tie Satin,Ljuslila barnslips Satin,Chłopięcy jasnofioletowy krawat satynowy
Blue tie & hanky,Blå slips & näsduk,Niebieski krawat i poszetka
White tie XL,Vit slips XL,Biały krawat XL
Extra skinny white tie,Extra smal vit slips,Bardzo wąski biały krawat
Skinny light blue tie,Smal ljusblå slips,Wąski jasnoniebieski krawat
Skinny red paisley tie,Smal röd paisley slips,Wąski czerwony krawat paisley
Purple dotted tie,Lila prickig slips,Fioletowy krawat w kropki
Green Christmas tie Rudolf,Grön julslips Rudolf,Zielony świąteczny krawat Rudolf
Navy & silver striped tie,Mörkblå & silver randig slips,Granatowo-srebrny krawat w paski
Purple dotted tie Lago,Lila prickig slips Lago,Fioletowy krawat w kropki Lago
Green tie Herringbone,Grön slips Herringbone,Zielony krawat Herringbone
Navy tie Sailboats,Mörkblå slips Segelbåtar,Granatowy krawat żaglówki
Orange tie Basic,Orange slips Basic,Pomarańczowy krawat Basic
Skinny navy tie damask,Smal mörkblå slips damask,Wąski granatowy krawat Damask
Boys burgundy dotted tie,Vinröd prickig barnslips,Chłopięcy bordowy krawat w kropki
Extra light pink tie,Extra ljusrosa slips,Bardzo jasnoróżowy krawat
Skinny dark purple tie,Smal mörklila slips,Wąski ciemnofioletowy krawat
