Product ID,SKU,Description,Description - de
1285,300-01,"White hand-sewn bow tie made of 100% silk. The bow tie is pre-tied and easy to fasten around the neck with an adjustable strap that fits all neck measurements up to 52 cm in circumference. As we work without intermediaries, we can offer a bow tie of the highest quality at a reasonable price. The size of the bow tie is 12.5 x 6 cm. Swedish design. Delivered in an elegant velvet pouch.","Weißes, handgenähtes Fliegen aus 100 % Seide. Die Fliege ist vorgeschnallt und lässt sich einfach mit einem verstellbaren Band um den Hals befestigen, das für alle Halsgrößen bis zu 52 cm Umfang geeignet ist. Da wir ohne Zwischenhändler arbeiten, können wir eine Fliege von höchster Qualität zu einem angemessenen Preis anbieten. Die Größe der Fliege beträgt 12,5 x 6 cm. Schwedisches Design. Lieferung in einem eleganten Samtbeutel."
1286,300-02,"Orange hand-sewn bow tie made of 100% silk. The bow tie is pre-tied and easy to fasten around the neck with an adjustable strap that fits all neck measurements up to 52 cm in circumference. As we work without intermediaries, we can offer a bow tie of the highest quality at a reasonable price. The size of the bow tie is 12.5 x 6 cm. Swedish design. Delivered in an elegant velvet pouch.","Orange handgenähte Fliege aus 100 % Seide. Die Fliege ist vorgeschnallt und lässt sich mit einem verstellbaren Band, das für alle Halsumfänge bis zu 52 cm geeignet ist, leicht um den Hals befestigen. Da wir ohne Zwischenhändler arbeiten, können wir eine Fliege von höchster Qualität zu einem angemessenen Preis anbieten. Die Größe der Fliege beträgt 12,5 x 6 cm. Schwedisches Design. Lieferung in einem eleganten Samtbeutel."
1287,300-04,"Burgundy hand-sewn bow tie made of 100% silk. The bow tie is pre-tied and easy to fasten around the neck with an adjustable strap that fits all neck measurements up to 52 cm in circumference. As we work without intermediaries, we can offer a dark red bow tie of the highest quality at a reasonable price. The size of the bow tie is 12.5 x 6 cm. Swedish design. Delivered in an elegant velvet pouch.","Burgunderfarbige, handgenähte Fliege aus 100 % Seide. Die Fliege ist bereits gebunden und lässt sich mit einem verstellbaren Band, das für alle Halsumfänge bis zu 52 cm geeignet ist, einfach um den Hals befestigen. Da wir ohne Zwischenhändler arbeiten, können wir eine dunkelrote Fliege von höchster Qualität zu einem angemessenen Preis anbieten. Die Größe der Fliege beträgt 12,5 x 6 cm. Schwedisches Design. Lieferung in einem eleganten Samtbeutel."
1288,300-05,"Dark purple hand-sewn bow tie made of 100% silk. The bow tie is pre-tied and easy to fasten around the neck with an adjustable strap that fits all neck measurements up to 52 cm in circumference. As we work without intermediaries, we can offer a bow tie of the highest quality at a reasonable price. The size of the bow tie is 12.5 x 6 cm. Swedish design. Delivered in an elegant velvet pouch.","Dunkellila, handgenähte Fliege aus 100 % Seide. Die Fliege ist vorgeschnallt und lässt sich einfach mit einem verstellbaren Band um den Hals befestigen, das für alle Halsgrößen bis zu 52 cm Umfang geeignet ist. Da wir ohne Zwischenhändler arbeiten, können wir eine Fliege von höchster Qualität zu einem angemessenen Preis anbieten. Die Größe der Fliege beträgt 12,5 x 6 cm. Schwedisches Design. Geliefert in einem eleganten Samtbeutel."
1289,300-06,"Purple hand-sewn bow tie made of 100% silk. The bow tie is pre-tied and easy to fasten around the neck with an adjustable strap that fits all neck measurements up to 52 cm in circumference. As we work without intermediaries, we can offer a bow tie of the highest quality at a reasonable price. The size of the bow tie is 12.5 x 6 cm. Swedish design. Delivered in an elegant velvet pouch.","Lila handgenähte Fliege aus 100% Seide. Die Fliege ist vorgeschnallt und lässt sich einfach um den Hals mit einem verstellbaren Band befestigen, das für alle Halsgrößen bis zu 52 cm Umfang geeignet ist. Da wir ohne Zwischenhändler arbeiten, können wir eine Fliege von höchster Qualität zu einem angemessenen Preis anbieten. Die Größe der Fliege beträgt 12,5 x 6 cm. Schwedisches Design. Lieferung in einem eleganten Samtbeutel."
1290,300-07,"Light purple hand-sewn bow tie made of 100% silk. The bow tie is pre-tied and easy to fasten around the neck with an adjustable strap that fits all neck measurements up to 52 cm in circumference. As we work without intermediaries, we can offer a bow tie of the highest quality at a reasonable price. The size of the bow tie is 12.5 x 6 cm. Swedish design. Delivered in an elegant velvet pouch.","Helllila, handgenähte Fliege aus 100 % Seide. Die Fliege ist vorgeschnallt und lässt sich einfach mit einem verstellbaren Band um den Hals befestigen, das für alle Halsgrößen bis zu 52 cm Umfang geeignet ist. Da wir ohne Zwischenhändler arbeiten, können wir eine Fliege von höchster Qualität zu einem angemessenen Preis anbieten. Die Größe der Fliege beträgt 12,5 x 6 cm. Schwedisches Design. Lieferung in einem eleganten Samtbeutel."
1291,300-08,"Turquoise hand-sewn bow tie made of 100% silk. The bow tie is pre-tied and easy to fasten around the neck with an adjustable strap that fits all neck measurements up to 52 cm in circumference. As we work without intermediaries, we can offer a bow tie of the highest quality at a reasonable price. The size of the bow tie is 12.5 x 6 cm. Swedish design. Delivered in an elegant velvet pouch.","Türkise, handgenähte Fliege aus 100 % Seide. Die Fliege ist vordefiniert und lässt sich einfach mit einem verstellbaren Band um den Hals befestigen, das für alle Halsgrößen bis zu 52 cm Umfang geeignet ist. Da wir ohne Zwischenhändler arbeiten, können wir eine Fliege von höchster Qualität zu einem angemessenen Preis anbieten. Die Größe der Fliege beträgt 12,5 x 6 cm. Schwedisches Design. Lieferung in einem eleganten Samtbeutel."
1292,300-09,"Navy hand-sewn bow tie made of 100% silk. The bow tie is pre-tied and easy to fasten around the neck with an adjustable strap that fits all neck measurements up to 52 cm in circumference. As we work without intermediaries, we can offer a dark blue silk bow tie of the highest quality at a reasonable price. The size of the bow tie is 12.5 x 6 cm. Swedish design. Delivered in an elegant velvet pouch.","Navy handgenähte Fliege aus 100 % Seide. Die Fliege ist vorgeschnallt und lässt sich mit einem verstellbaren Band, das für alle Halsumfänge bis zu 52 cm geeignet ist, leicht um den Hals befestigen. Da wir ohne Zwischenhändler arbeiten, können wir eine dunkelblaue Seidenfliege von höchster Qualität zu einem angemessenen Preis anbieten. Die Größe der Fliege beträgt 12,5 x 6 cm. Schwedisches Design. Lieferung in einem eleganten Samtbeutel."
1293,300-10,"Blue hand-sewn bow tie made of 100% silk. The bow tie is pre-tied and easy to fasten around the neck with an adjustable strap that fits all neck measurements up to 52 cm in circumference. As we work without intermediaries, we can offer a bow tie of the highest quality at a reasonable price. The size of the bow tie is 12.5 x 6 cm. Swedish design. Delivered in an elegant velvet pouch.","Blaues, handgenähtes Fliegen aus 100 % Seide. Die Fliege ist vorgeschnallt und lässt sich einfach mit einem verstellbaren Band um den Hals befestigen, das für alle Halsgrößen bis zu 52 cm Umfang geeignet ist. Da wir ohne Zwischenhändler arbeiten, können wir eine Fliege von höchster Qualität zu einem angemessenen Preis anbieten. Die Größe der Fliege beträgt 12,5 x 6 cm. Schwedisches Design. Lieferung in einem eleganten Samtbeutel."
1477,400-01,"White self-tie bow tie from Scottsberry, hand-sewn in the finest silk. With a focus on quality and functionality, this is an affordable bow tie that you tie yourself. It has an adjustable strap that fits all neck sizes up to a 50 cm circumference. The strap can be opened, making it easy to put on and take off the bow tie without having to untie it. Swedish design. Comes in an elegant velvet pouch.","Weißes selbstbinder Fliegen von Scottsberry, handgenäht aus feinster Seide. Mit einem Fokus auf Qualität und Funktionalität ist dies eine erschwingliche Fliege, die Sie selbst binden können. Sie verfügt über einen verstellbaren Riemen, der für alle Halsgrößen bis zu einem Umfang von 50 cm geeignet ist. Der Riemen kann geöffnet werden, was das An- und Ablegen der Fliege erleichtert, ohne sie zu lösen. Schwedisches Design. Wird in einem eleganten Samtbeutel geliefert."
