Display Name,Display name - pl
Sterling Silver Bracelet Unibangle Flex,Bransoletka z czystego srebra Unibangle Flex
Black Leather Bracelet Voyager Minimalista,Czarna skórzana bransoletka Voyager Minimalista
Brown Leather Bracelet Minimalista,Brązowa skórzana bransoletka Minimalista
Orange Leather Bracelet Minimalista,Pomarańczowa skórzana bransoletka Minimalista
Red Leather Bracelet Minimalista,Czerwona skórzana bransoletka Minimalista
Yellow Leather Bracelet Minimalista,Żółta skórzana bransoletka Minimalista
Dark Brown Bracelet Minimalista,Ciemnobrązowa bransoletka Minimalista
Forest Green Bracelet Minimalista,Bransoletka w kolorze zieleni leśnej Minimalista
Light Pink Bracelet Minimalista,Jasnoróżowa bransoletka Minimalista
Navy Bracelet Minimalista,Granatowa bransoletka Minimalista
Orange Bracelet Minimalista,Pomarańczowa bransoletka Minimalista
Red Bracelet Minimalista,Czerwona bransoletka Minimalista
Black Leather Bracelet Dual Elegance Gold,Czarna skórzana bransoletka Dual Elegance Złoto
Black Leather Bracelet Dual Elegance Matte Black,Czarna skórzana bransoletka Dual Elegance Matowa Czarna
Brown Leather Bracelet Dual Elegance Silver,Brązowa skórzana bransoletka Dual Elegance Srebro
Dark Brown Leather Bracelet Dual Elegance Silver,Ciemnobrązowa skórzana bransoletka Dual Elegance Srebro
Black Leather Bracelet Triple Elegance Silver,Czarna skórzana bransoletka Triple Elegance Srebro
Black handkerchief Satin,Czarna poszetka Satynowa
Navy Christmas handkerchief Santa,Granatowa świąteczna poszetka z Mikołajem
