Display Name,Display name - pl
Self-tie orange bow tie,Muszka do samodzielnego wiązania pomarańczowa
Self-tie extra light pink bow tie,Muszka do samodzielnego wiązania bardzo jasnoróżowa
Light purple bow tie,Jasnofioletowa muszka
Boys dark purple bow tie,Chłopięca ciemnofioletowa muszka
Boys black bow tie,Chłopięca czarna muszka
Mustard yellow bow tie,Musztardowa żółta muszka
Teal bow tie,Morska muszka
Burgundy bow tie XL,Bordowa muszka XL
Black dotted bow tie,Czarna muszka w kropki
Red paisley bow tie,Czerwona muszka paisley
Black floral bow tie,Czarna muszka kwiatowa
Orange bow tie Sky,Muszka pomarańczowa Sky
Self-tie navy paisley bow tie,Muszka do samodzielnego wiązania granatowa paisley
Extra light pink bow tie,Bardzo jasnoróżowa muszka
Green Christmas bow tie Santa,Zielona świąteczna muszka Santa
Self-tie blue dotted bow tie herringbone,Muszka do samodzielnego wiązania niebieska w kropki jodełka
Black bow tie Velvet,Czarna muszka aksamit
Dark brown bow tie Elegante,Ciemnobrązowa muszka Elegante
Navy paisley bow tie Toscana,Granatowa muszka paisley Toscana
Navy bow ties Cars,Granatowe muszki Cars
Gold bow tie Damask,Złota muszka Damask
Black Christmas bow tie Decor,Czarna świąteczna muszka Decor
