Display Name,Display name - nl,Display name - fr,Display name - es,Display name - it,Display name - pt,Display name - cz,Display name - hu,Display name - ro,Display name - pl,Display name - bg,Display name - hr,Display name - gr,Display name - sk
Dark purple tie,Donkerpaarse stropdas,Cravate violet foncé,Corbata morado oscuro,Cravatta viola scuro,Gravata roxo escuro,Kravata tmavě fialová,Sötétlila nyakkendő,Cravată mov închis,"Raderad, men klar ",Тъмно лилава вратовръзка,Tamnoljubičasta kravata,Σκούρα μωβ γραβάτα,Tmavo fialová kravata
Navy tie,Marineblauwe stropdas,Cravate bleu marine,Corbata azul marino,Cravatta blu navy,Gravata azul marinho,Kravata námořnická modrá,Tengerészkék nyakkendő,Cravată bleumarin,"Raderad, men klar ",Тъмносиня вратовръзка,Kravata tamnoplava,Μπλε ναυτική γραβάτα,Námornícka modrá kravata
Boys dark yellow tie,Donkergele stropdas voor jongens,Cravate jaune foncé pour garçons,Corbata amarilla oscura para niños,Cravatta giallo scuro per bambini,Gravata amarela escura para crianças,Kravata tmavě žlutá pro chlapce,Fiú sötétsárga nyakkendő,Cravată galben închis pentru băieți,"Raderad, men klar ",Тъмножълта вратовръзка за момчета,Dječja kravata tamnožuta,Σκούρα κίτρινη γραβάτα για αγόρια,Chlapčenská tmavožltá kravata
Boys light purple tie Satin,Lichtpaarse satijnen stropdas voor jongens,Cravate satinée violet clair pour garçons,Corbata satinada lila claro para niños,Cravatta lilla chiaro satinata per bambini,Gravata lilás claro de cetim para crianças,Kravata světle fialová saténová pro chlapce,Fiú világoslila szatén nyakkendő,Cravată satinată mov deschis pentru băieți,"Raderad, men klar ",Светлолилава сатенена вратовръзка за момчета,Dječja kravata svijetloljubičasta od satena,Ανοιχτό μωβ σατέν γραβάτα για αγόρια,Chlapčenská svetlofialová saténová kravata
Blue tie & hanky,Blauwe stropdas & pochet,Cravate bleue & pochette,Corbata azul y pañuelo de bolsillo,Cravatta blu e fazzoletto da taschino,Gravata azul e lenço de bolso,Modrá kravata a kapesníček do saka,Kék nyakkendő és díszzsebkendő,Cravată albastră și batistă de buzunar,"Raderad, men klar ",Синя вратовръзка и кърпичка за сако,Plava kravata i džepna maramica,Μπλε γραβάτα και μαντήλι τσέπης,Modrá kravata a vreckovka do saka
White tie XL,Witte stropdas XL,Cravate blanche XL,Corbata blanca XL,Cravatta bianca XL,Gravata branca XL,Bílá kravata XL,Fehér nyakkendő XL,Cravată albă XL,"Raderad, men klar ",Бяла вратовръзка XL,Bijela kravata XL,Λευκή γραβάτα XL,Biela kravata XL
Extra skinny white tie,Extra smalle witte stropdas,Cravate extra étroite blanche,Corbata extra estrecha blanca,Cravatta extra stretta bianca,Gravata extra estreita branca,Extra úzká bílá kravata,Extra keskeny fehér nyakkendő,Cravată extra îngustă albă,"Raderad, men klar ",Екстра тясна бяла вратовръзка,Ekstra uska bijela kravata,Πολύ στενή λευκή γραβάτα,Extra úzka biela kravata
Skinny light blue tie,Smalle lichtblauwe stropdas,Cravate étroite bleu clair,Corbata estrecha azul claro,Cravatta stretta azzurra,Gravata estreita azul claro,Úzká světle modrá kravata,Keskeny világoskék nyakkendő,Cravată îngustă albastru deschis,"Raderad, men klar ",Тясна светлосиня вратовръзка,Uska svijetloplava kravata,Στενή ανοιχτό μπλε γραβάτα,Úzka svetlomodrá kravata
Skinny red paisley tie,Smalle rode paisley stropdas,Cravate étroite rouge à motif paisley,Corbata estrecha roja con diseño paisley,Cravatta stretta rossa a motivo paisley,Gravata estreita vermelha com padrão paisley,Úzká červená kravata s paisley vzorem,Keskeny piros paisley nyakkendő,Cravată îngustă roșie cu model paisley,"Raderad, men klar ",Тясна червена вратовръзка с шарка на пейсли,Uska crvena kravata s paisley uzorkom,Στενή κόκκινη γραβάτα με σχέδιο paisley,Úzka červená kravata s paisley vzorom
Purple dotted tie,Paarse stropdas met stippen,Cravate violette à pois,Corbata morada con lunares,Cravatta viola a pois,Gravata roxa com bolinhas,Fialová kravata s puntíky,Lila pöttyös nyakkendő,Cravată mov cu buline,"Raderad, men klar ",Лилава вратовръзка на точки,Ljubičasta kravata s točkicama,Μωβ γραβάτα με πουά,Fialová kravata s bodkami
